id	rate
6057	-18.1
6059	-15.9
6061	-23.8
6063	-28.3
6065	-7
6067	3.5
6069	12.1
6071	-2
6073	-4.4
6075	58.9
6077	-1.7
6079	-11.8
6081	32.8
6083	0.8
6085	25.8
6087	33.7
6089	-35.3
6091	-34.8
6093	-30.1
6095	17.3
6097	26.8
6099	-8.9
6101	-34.1
6103	-32.9
6105	-24.8
6107	-24
6109	-16.6
6111	-1.6
6113	16.9
6115	-27.1
8001	5.6
8003	-7.6
8005	-8.5
8007	-33.2
8009	-50.2
8011	-16.4
8013	13.2
8014	-0.5
8015	-20.6
8017	-62.3
8019	-1.7
8021	-1.2
8023	32.9
8025	-24.3
8027	-45.2
8029	-40.8
8031	30.5
8033	-40
8035	-34.1
8037	-3.1
8039	-43.2
8041	-33.6
8043	-29.2
8045	-18.1
8047	3.3
8049	-20.4
8051	-1.4
8053	-23.1
8055	0.4
8057	-55.5
8059	-8.6
8061	-53.9
8063	-50.6
8065	8.6
8067	-10.9
8069	-14.3
8071	10.5
8073	-51.4
8075	-40.4
8077	-33.7
8079	-26.4
8081	-49.6
8083	-38.9
8085	-37.3
8087	-32
8089	-15.8
8091	-26.2
8093	-19.8
8095	-46
8097	19.6
8099	-37.3
8101	10.7
8103	-58
8105	-28.2
8107	-3.2
8109	2.2
8111	-14.5
8113	16.6
8115	-38.3
8117	6.8
8119	-38.4
8121	-57.8
8123	-22.2
8125	-48.1
9001	8.7
9003	25
9005	2.5
9007	17.6
9009	21.5
9011	17.2
9013	13.6
9015	16.1
10001	-3.2
10003	22.5
10005	-7.8
12001	14.9
12003	-40
12005	-34.1
12007	-27.4
12009	-8.6
12011	36
12013	-14.3
12015	-9.2
12017	-7.9
12019	-47.8
12021	-33.6
12023	-21.6
12027	-12.5
12029	-19.2
12031	-17.2
12033	-28
12035	4.3
12037	-9.2
12039	33.2
12041	-26.3
12043	-12.3
12045	-19.3
12047	-11.2
12049	-23.4
12051	-19
12053	2.6
12055	-17.7
12057	-3.6
12059	-38.9
12061	-18.4
12063	-14.5
12065	9.5
12067	-35.7
12069	-15.6
12071	-18.2
12073	21.2
12075	-12
12077	-12.9
12079	-0.9
12081	-8.5
12083	-10.7
12085	-12.4
12086	5.8
12087	0.7
12089	-40.3
12091	-50.2
12093	-5.2
12095	1.6
12097	3
12099	26.5
12101	0.2
12103	3.4
12105	-9.5
12107	-5.6
12109	-33.5
12111	8.3
12113	-47.2
12115	-6.8
12117	-12.5
12119	-11.7
12121	-32.1
12123	-21.2
12125	-24.7
12127	7.7
12129	-8.3
12131	-36.2
12133	-27.8
13001	-30.8
13003	-20.2
13005	-35.7
13007	17.8
13009	-1.7
13011	-44.2
13013	-35.8
13015	-32.1
13017	-3.7
13019	-24.9
13021	1.3
13023	-31.5
13025	-38.8
13027	-7.3
13029	-38.2
13031	-23.7
13033	4.2
13035	-16.8
13037	17.5
13039	-27.6
13043	-22.2
13045	-29.9
13047	-37.5
13049	-27.4
13051	-0.8
13053	0.3
13055	-14.6
13057	-49.7
13059	11
13061	28.7
13063	32.2
13065	-14.8
13067	-23.4
13069	-23.4
13071	-33.5
13073	-49.6
